tm_value,board_size,winner,margin,komi
0,9,Black,9,0
0,9,White,23,0
0,9,Black,41,0
0,9,White,81,0
0,9,White,1,0
0,9,Black,81,0
0,9,Black,37,0
0,9,Black,37,0
0,9,Black,53,0
0,9,Black,5,0
0,9,White,23,0
0,9,White,31,0
0,9,Black,25,0
0,9,Black,21,0
0,9,Black,9,0
0,9,White,81,0
0,9,Black,41,0
0,9,Black,25,0
0,9,Black,15,0
0,9,Black,1,0
0,9,White,27,0
0,9,White,37,0
0,9,White,13,0
0,9,Black,23,0
0,9,Black,17,0
0,9,Black,31,0
0,9,White,81,0
0,9,Black,81,0
0,9,Black,29,0
0,9,Black,13,0
0,9,White,37,0
0,9,Black,3,0
0,9,Black,81,0
0,9,Black,15,0
0,9,Black,81,0
0,9,White,3,0
0,9,White,7,0
0,9,Black,9,0
0,9,Black,15,0
0,9,White,7,0
0,9,White,19,0
0,9,Black,13,0
0,9,White,81,0
0,9,White,11,0
0,9,White,3,0
0,9,Black,51,0
0,9,Black,81,0
0,9,Black,15,0
0,9,White,33,0
0,9,White,15,0
0,9,Black,27,0
0,9,White,15,0
0,9,White,17,0
0,9,White,31,0
0,9,Black,81,0
0,9,White,7,0
0,9,Black,81,0
0,9,White,81,0
0,9,White,27,0
0,9,Black,27,0
0,9,White,11,0
0,9,Black,19,0
0,9,White,1,0
0,9,White,81,0
0,9,White,35,0
0,9,White,81,0
0,9,White,51,0
0,9,White,81,0
0,9,Black,23,0
0,9,White,31,0
0,9,Black,27,0
0,9,Black,17,0
0,9,Black,81,0
0,9,White,27,0
0,9,White,3,0
0,9,Black,81,0
0,9,Black,81,0
0,9,White,37,0
0,9,White,45,0
0,9,Black,11,0
0,9,White,23,0
0,9,Black,31,0
0,9,Black,3,0
0,9,White,39,0
0,9,White,25,0
0,9,White,13,0
0,9,White,21,0
0,9,Black,25,0
0,9,Black,1,0
0,9,White,11,0
0,9,Black,81,0
0,9,Black,13,0
0,9,Black,39,0
0,9,Black,15,0
0,9,Black,15,0
0,9,Black,47,0
0,9,White,29,0
0,9,White,81,0
0,9,White,11,0
0,9,Black,33,0
0,9,White,17,0
0,9,White,35,0
0,9,Black,7,0
0,9,Black,81,0
0,9,White,7,0
0,9,White,19,0
0,9,White,31,0
0,9,White,3,0
0,9,White,21,0
0,9,White,1,0
0,9,White,7,0
0,9,White,81,0
0,9,White,1,0
0,9,White,3,0
0,9,White,1,0
0,9,White,13,0
0,9,Black,19,0
0,9,White,29,0
0,9,White,81,0
0,9,White,81,0
0,9,Black,81,0
0,9,White,29,0
0,9,Black,11,0
0,9,White,81,0
0,9,White,21,0
0,9,Black,11,0
0,9,White,3,0
0,9,Black,81,0
0,9,White,7,0
0,9,White,9,0
0,9,Black,81,0
0,9,White,81,0
0,9,White,41,0
0,9,White,39,0
0,9,White,81,0
0,9,Black,81,0
0,9,White,81,0
0,9,Black,81,0
0,9,Black,1,0
0,9,White,81,0
0,9,White,31,0
0,9,White,25,0
0,9,Black,35,0
0,9,Black,81,0
0,9,White,19,0
0,9,White,17,0
0,9,Black,81,0
0,9,White,39,0
0,9,Black,81,0
0,9,Black,57,0
0,9,Black,81,0
0,9,White,7,0
0,9,White,29,0
0,9,Black,31,0
0,9,White,81,0
0,9,Black,11,0
0,9,Black,13,0
0,9,Black,5,0
0,9,White,7,0
0,9,White,21,0
0,9,White,7,0
0,9,White,3,0
0,9,White,81,0
0,9,White,81,0
0,9,Black,9,0
0,9,Black,11,0
0,9,White,27,0
0,9,Black,81,0
0,9,Black,29,0
0,9,White,19,0
0,9,White,3,0
0,9,White,1,0
0,9,Black,81,0
0,9,White,13,0
0,9,Black,19,0
0,9,White,3,0
0,9,White,1,0
0,9,Black,7,0
0,9,White,9,0
0,9,Black,1,0
0,9,White,29,0
0,9,Black,33,0
0,9,White,45,0
0,9,White,29,0
0,9,Black,31,0
0,9,White,19,0
0,9,Black,13,0
0,9,White,25,0
0,9,White,81,0
0,9,Black,3,0
0,9,White,1,0
0,9,Black,17,0
0,9,White,23,0
0,9,White,3,0
0,9,Black,15,0
0,9,White,15,0
0,9,White,13,0
0,9,Black,81,0
0,9,Black,81,0
0,9,White,3,0
0,9,White,23,0
0,9,White,29,0
0,9,White,81,0
0,9,Black,81,0
0,9,White,39,0
0,9,Black,81,0
0,9,Black,31,0
0,9,Black,9,0
0,9,White,19,0
0,9,Black,25,0
0,9,Black,9,0
0,9,Black,7,0
0,9,Black,23,0
0,9,Black,81,0
0,9,White,11,0
0,9,Black,39,0
0,9,White,3,0
0,9,Black,25,0
0,9,Black,23,0
0,9,White,9,0
0,9,Black,81,0
0,9,White,11,0
0,9,White,35,0
0,9,Black,81,0
0,9,Black,11,0
0,9,Black,3,0
0,9,Black,81,0
0,9,Black,81,0
0,9,White,29,0
0,9,White,81,0
0,9,White,13,0
0,9,Black,81,0
0,9,Black,5,0
0,9,Black,15,0
0,9,Black,21,0
0,9,White,27,0
0,9,White,17,0
0,9,Black,55,0
0,9,Black,5,0
0,9,Black,11,0
0,9,Black,81,0
0,9,Black,23,0
0,9,White,81,0
0,9,White,37,0
0,9,Black,27,0
0,9,White,39,0
0,9,White,19,0
0,9,Black,47,0
0,9,Black,25,0
0,9,Black,3,0
0,9,Black,5,0
0,9,Black,81,0
0,9,Black,29,0
0,9,White,27,0
0,9,Black,35,0
0,9,White,23,0
0,9,Black,29,0
0,9,White,21,0
0,9,Black,31,0
0,9,Black,81,0
0,9,Black,49,0
0,9,White,81,0
0,9,White,3,0
0,9,Black,7,0
0,9,White,3,0
0,9,Black,3,0
0,9,White,23,0
0,9,Black,21,0
0,9,Black,47,0
0,9,Black,1,0
0,9,Black,17,0
0,9,Black,11,0
0,9,White,43,0
0,9,White,35,0
0,9,White,29,0
0,9,Black,1,0
0,9,White,81,0
0,9,White,45,0
0,9,White,81,0
0,9,Black,31,0
0,9,White,53,0
0,9,White,1,0
0,9,Black,11,0
0,9,Black,33,0
0,9,White,13,0
0,9,White,81,0
0,9,Black,1,0
0,9,Black,11,0
0,9,White,81,0
0,9,Black,81,0
0,9,Black,35,0
0,9,Black,5,0
0,9,Black,81,0
0,9,White,15,0
0,9,White,81,0
0,9,Black,5,0
0,9,Black,21,0
0,9,White,81,0
0,9,White,17,0
0,9,Black,13,0
0,9,Black,31,0
0,9,White,17,0
0,9,White,15,0
0,9,Black,9,0
0,9,White,1,0
0,9,White,13,0
0,9,White,15,0
0,9,Black,81,0
0,9,Black,81,0
0,9,Black,81,0
0,9,White,21,0
0,9,Black,3,0
0,9,Black,31,0
0,9,White,17,0
0,9,White,31,0
0,9,Black,81,0
0,9,Black,5,0
0,9,Black,5,0
0,9,Black,11,0
0,9,White,15,0
0,9,White,81,0
0,9,Black,7,0
0,9,Black,17,0
0,9,White,81,0
0,9,Black,5,0
0,9,Black,21,0
0,9,Black,9,0
0,9,Black,41,0
0,9,Black,5,0
0,9,Black,13,0
0,9,Black,81,0
0,9,Black,81,0
0,9,Black,9,0
0,9,Black,37,0
0,9,Black,81,0
0,9,White,31,0
0,9,White,3,0
0,9,Black,23,0
0,9,Black,1,0
0,9,Black,29,0
0,9,Black,1,0
0,9,White,17,0
0,9,Black,3,0
0,9,Black,37,0
0,9,White,49,0
0,9,Black,21,0
0,9,White,19,0
0,9,White,81,0
0,9,Black,21,0
0,9,Black,11,0
0,9,White,19,0
0,9,Black,81,0
0,9,Black,5,0
0,9,White,81,0
0,9,White,81,0
0,9,Black,81,0
0,9,White,81,0
0,9,White,33,0
0,9,Black,9,0
0,9,Black,17,0
0,9,White,15,0
0,9,White,35,0
0,9,Black,51,0
0,9,White,47,0
0,9,White,5,0
0,9,Black,39,0
0,9,White,23,0
0,9,Black,81,0
0,9,Black,81,0
0,9,White,47,0
0,9,White,3,0
0,9,Black,81,0
0,9,White,3,0
0,9,Black,3,0
0,9,Black,1,0
0,9,White,41,0
0,9,Black,81,0
0,9,Black,33,0
0,9,Black,23,0
0,9,White,31,0
0,9,White,25,0
0,9,Black,19,0
0,9,White,3,0
0,9,Black,11,0
0,9,Black,1,0
0,9,Black,7,0
0,9,White,19,0
0,9,White,17,0
0,9,Black,33,0
0,9,White,45,0
0,9,White,81,0
0,9,Black,81,0
0,9,Black,25,0
0,9,Black,43,0
0,9,Black,15,0
0,9,Black,15,0
0,9,Black,81,0
0,9,Black,81,0
0,9,Black,31,0
0,9,White,17,0
0,9,White,81,0
0,9,White,23,0
0,9,White,81,0
0,9,White,81,0
0,9,White,7,0
0,9,Black,41,0
0,9,White,81,0
0,9,Black,81,0
0,9,White,9,0
0,9,White,25,0
0,9,Black,81,0
0,9,Black,81,0
